,batch_size,cos,decay,epochs,lr,momentum,schedule,total_acc,mean_acc,freqw_acc,mean_iou,classwise_scores
output/6,32,False,0.0005,200,0.03,0.99,,0.7754010002394229,0.22921688997394926,0.642814274344342,0.1594219297643178,"{0: 0.7993711043893591, 1: 0.30602778833696653, 2: 0.09726195365313445, 3: 0.0698985555220304, 4: 0.0008289407526298863, 5: 0.0002807658255477997, 6: 0.3502481835084571, 7: 0.3115333321688337, 8: 0.16824734988219883, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.22131756187287266, 13: 0.006637539632630619, 14: 0.2627551702832677, 15: 0.35475583186087595, 16: 0.0, 17: 0.1400195440609182, 18: 0.004017440761850122, 19: 0.05515334044581032, 20: 0.1995061220932902}"
output/2,32,False,0.0005,200,1.0,0.99,"['50', '100']",0.7475621425504928,0.047619047619047616,0.5588491569746833,0.035598197264309184,"{0: 0.7475621425504928, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
output/14,32,False,0.0005,200,0.05,0.99,"['50', '100']",0.7192062077808578,0.08975876815134796,0.572906295672187,0.05058571406887395,"{0: 0.7557078206484027, 1: 0.049945302731915456, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.13222941224339713, 7: 0.0, 8: 0.00798266954069751, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0010882418432837221, 13: 0.0, 14: 0.015749237435126344, 15: 0.0995973110035302, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
output/8,32,False,0.0005,200,0.03,0.99,"['50', '100']",0.8095011266862383,0.3694177462701593,0.6941793527820538,0.2800291725006068,"{0: 0.8254863016079452, 1: 0.47183583904460225, 2: 0.15217410359923836, 3: 0.24803934057595756, 4: 0.20405824115489127, 5: 0.1806197336232672, 6: 0.4751545096030134, 7: 0.4211311393292728, 8: 0.36523887955549156, 9: 0.023801864271005696, 10: 0.1045921002191866, 11: 0.05609828641416476, 12: 0.2931286677625992, 13: 0.14966920368600503, 14: 0.29455997687252944, 15: 0.4508653380812582, 16: 0.13992471387672864, 17: 0.1943234826305726, 18: 0.10262649122896042, 19: 0.39389272553223914, 20: 0.33339168384381396}"
output/3,32,False,0.0005,200,0.1,0.99,,0.7317970518081908,0.06371182533832873,0.5687972878942991,0.04568349357233256,"{0: 0.7503285724989422, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0913353729425879, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.11768941957745369, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
output/5,32,False,0.0005,200,0.1,0.99,"['50', '100']",0.7830203275502838,0.25061594540888044,0.6519330801024477,0.185011727714464,"{0: 0.7996009387695954, 1: 0.3440042538427416, 2: 0.07305345581297766, 3: 0.08958955579170014, 4: 0.012358520087146312, 5: 0.0008370398562987951, 6: 0.42410086998589813, 7: 0.3851322792410035, 8: 0.28394454560809484, 9: 1.586102376758227e-05, 10: 0.07627675204011436, 11: 0.03613930567977786, 12: 0.14123250363781653, 13: 0.0858428120306026, 14: 0.18704478216052012, 15: 0.3569901488377432, 16: 0.008173772497156766, 17: 0.1370396423496732, 18: 0.017587720893940718, 19: 0.3298289258263869, 20: 0.09645259603078842}"
output/11,32,False,0.0005,200,0.01,0.99,"['50', '100']",0.8323509237369724,0.42487546678303,0.7201439380138815,0.3430559320069443,"{0: 0.8383845653745945, 1: 0.4706583044702227, 2: 0.18267736400593496, 3: 0.3129493491620596, 4: 0.35638192428212734, 5: 0.22335835325084305, 6: 0.5996687273126247, 7: 0.5127513931481992, 8: 0.4616125682864134, 9: 0.09878309804675385, 10: 0.1817798035175622, 11: 0.10762444162406658, 12: 0.34329395844909116, 13: 0.22333953074955817, 14: 0.35116716084889055, 15: 0.5008955886860131, 16: 0.17956912904615177, 17: 0.32737517130500965, 18: 0.10073973588950814, 19: 0.4436986649655851, 20: 0.38746573972462034}"
output/7,32,True,0.0005,200,0.03,0.99,,0.7956836771520769,0.3732928235233324,0.6820610722635972,0.2614561723226771,"{0: 0.8148489608819927, 1: 0.38466662697716514, 2: 0.1496852639708594, 3: 0.18903116835848385, 4: 0.19323547643708947, 5: 0.13525425670267407, 6: 0.47578354426203023, 7: 0.4155648068642037, 8: 0.34454079704879, 9: 0.018605593019027002, 10: 0.023917973767397887, 11: 0.15375796991625515, 12: 0.3195758406729592, 13: 0.16398806037579683, 14: 0.2878956648202932, 15: 0.4274473737429955, 16: 0.13013183236184245, 17: 0.1684574404990791, 18: 0.09704663644015013, 19: 0.3465645417481076, 20: 0.2505797899090275}"
output/13,32,True,0.0005,200,0.05,0.99,,0.7382390487597185,0.1349692805592837,0.5988007144443286,0.08985245326296414,"{0: 0.7688981959148928, 1: 0.11187874122801919, 2: 0.05378824581362128, 3: 0.005031364653035791, 4: 0.0, 5: 0.0, 6: 0.08818973874426884, 7: 0.22200663346531765, 8: 0.17690746288714043, 9: 0.0, 10: 0.0006794052260874986, 11: 0.01836771785430757, 12: 0.025109605861582587, 13: 0.09528614445607798, 14: 0.08200095769833804, 15: 0.2385701073184781, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.00018719740107886487, 20: 0.0}"
output/12,32,False,0.0005,200,0.05,0.99,,0.7399491177829403,0.1266091528998722,0.5945485026282831,0.08287718676827345,"{0: 0.7684311751906353, 1: 0.1908434127843534, 2: 0.0, 3: 0.0011919809283051472, 4: 0.0, 5: 0.0, 6: 0.1655572797386303, 7: 0.13241929964421606, 8: 0.07781895465985934, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.00042542959390553164, 13: 0.0, 14: 0.09381769478628829, 15: 0.19514140641821673, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.08323931079521925, 20: 0.031534977594113445}"
output/9,32,False,0.0005,200,0.01,0.99,,0.7945881245299156,0.3972333631114678,0.6827705775311264,0.27699514519318963,"{0: 0.8122518301648438, 1: 0.37390784547336176, 2: 0.15059790769134077, 3: 0.1855944161296501, 4: 0.24672800520979088, 5: 0.1863464552305112, 6: 0.4906439036955017, 7: 0.4549255698799706, 8: 0.3551768032836917, 9: 0.0759470388059808, 10: 0.038159273081248245, 11: 0.0827003649665837, 12: 0.18822417496012264, 13: 0.21536480832453844, 14: 0.31129968070308256, 15: 0.4626695850962603, 16: 0.12688587704024407, 17: 0.26944764352633005, 18: 0.08758020733933054, 19: 0.3406459386473107, 20: 0.36180071980728845}"
output/0,32,False,0.0005,200,1.0,0.99,,0.7475621425504928,0.047619047619047616,0.5588491569746833,0.035598197264309184,"{0: 0.7475621425504928, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
output/4,32,True,0.0005,200,0.1,0.99,,0.7324359806921664,0.09127599836697671,0.5802705459799178,0.05825082266155733,"{0: 0.7594258993472548, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.16939273149466852, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.1650984110805806, 13: 0.0, 14: 0.0, 15: 0.12935023397020007, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
output/10,32,True,0.0005,200,0.01,0.99,,0.8228882209772567,0.4108174162635712,0.715095586429584,0.32684677014053176,"{0: 0.8373248306773183, 1: 0.46694516162192523, 2: 0.18163355321839192, 3: 0.26901280271479255, 4: 0.3065230256810709, 5: 0.23050255587530952, 6: 0.5510040722606707, 7: 0.5217498372589379, 8: 0.39129623281538595, 9: 0.06757588117415587, 10: 0.2137421346859574, 11: 0.12758206653486434, 12: 0.3319464324922941, 13: 0.2729878742938627, 14: 0.33174634989572527, 15: 0.4794749206545784, 16: 0.13295240749773535, 17: 0.288855934779136, 18: 0.1298216882135423, 19: 0.44028079373071677, 20: 0.290823616874795}"
output/1,32,True,0.0005,200,1.0,0.99,,0.7475621425504928,0.047619047619047616,0.5588491569746833,0.035598197264309184,"{0: 0.7475621425504928, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
